phrasal	meaning	significado	phrase	frase	position
slip off	Leave a place discreetly.	Deixar um lugar discretamente.	It was very boring so we slipped off before it finished.	Foi muito chato, então escorremos antes de terminar.	6077
slip off	Remove clothes.	Tirar a roupa.	I slipped my shoes off when I entered.	deslizei meus sapatos quando entrei.	6078
slip off to	Go somewhere discreetly.	Ir a algum lugar discretamente.	We slipped off to the pub.	Nós escorregamos para o pub.	6079
slip on	Put clothes on quickly.	Colocar roupas rapidamente.	I slipped my coat on and rushed outside.	deslizei meu casaco e corri para fora.	6080
slip on	Put on an item of clothing easily	Vestir uma peça de roupa facilmente			6081
slip out	Leave discreetly.	Sair discretamente.	The party was really dull so we slipped out and went to the pub instead.	A festa era realmente aborrecida, então escorregamos e fomos para o pub em vez disso.	6082
slip up	Make an error.	Cometer um erro.	The waitress slipped up and didn't bring us what we had ordered.	A garçonete escorregou e não nos trouxe o que pedimos.	6083
slob about	Be lazy, do nothing.	Ser preguiçoso, não fazer nada.	I slobbed about all day as I couldn't be bothered to do any work.	soubii o dia todo, como não pude ser incomodado em fazer qualquer trabalho.	6084
slob around	Be lazy, do nothing.	Ser preguiçoso, não fazer nada.	I spent the day slobbing around at home.	Passei o dia batendo em casa.	6085
slope off	Leave somewhere without letting others know.	Deixar um lugar sem deixar os outros saberem.	The lecture sounded really boring, so I sloped off and went to the pub.	A palestra soava muito chata, então eu inclinei e fui ao pub.	6086
slough off	Get rid of, dispose.	Livrar-se, descartar.	The government is increasing its powers but is sloughing off responsibility for its failures.	O governo está aumentando seus poderes, mas é destruir a responsabilidade por seus fracassos.	6087
slough off	Lose or shed outer layers of skin.	Perder ou derramar camadas externas de pele.	Snakes slough off their old skin.	Cobras saem da pele velha.	6088
slough off	Ignore or trivialize an injury or insult.	Ignorar ou trivializar uma lesão ou insulto.	He sloughed off the pain and continued running.	Cobras saem da pele velha.	6089
slow down	To do something slower.	Fazer algo mais lento.	The car slowed down when they saw the police.	O carro diminuiu quando viram a polícia.	6090
slow down	Reduce speed.	Reduzir a velocidade.	The car slowed down when they saw the police.	O carro diminuiu quando viram a polícia.	6091
slow down	Become less active.	Tornar-se menos ativo.	It is important to slow down, rest, and eat sensibly.	É importante desacelerar, descansar e comer sensatamente.	6092
slow down	To do something slower.	Fazer algo mais lento.	The car slowed down when they saw the police.	O carro diminuiu quando viram a polícia.	6093
slow down	Decelerate	Desacelerar			6094
slow down	To decrease speed; to go slower	diminuir a velocidade; ir mais devagar			6095
slow up	Slow the progress of something.	Retardar o progresso de alguma coisa.	The negotiations were slowed up by the arguments.	As negociações foram retardadas pelos argumentos.	6096
slug it out	Fight or argue.	Lutar ou argumentar.	They slugged it out for hours but never came to an agreement.	Eles diminuíram por horas, mas nunca chegaram a um acordo.	6097
smack of	Appear to have a negative quality.	Parecer ter uma qualidade negativa.	The government's decision smacks of hypocrisy.	A decisão do governo cheira hipocrisia.	6098
smash down	Demolish or break something down.	Demolir ou derrubar algo.	The police smashed the door down to get into the house.	A polícia esmagou a porta para baixo para entrar na casa.	6099
smash in	Break something by hitting it repeatedly.	Quebrar algo batendo repetidamente.	He smashed the windscreen in.	Ele esmagou o pára-brisas.	6100
smash up	Destroy, break into many pieces.	Destruir, despedaçar em muitos pedaços.	The burglars smashed up the office as there was no money to steal.	Os ladrões esmagaram o escritório, pois não havia dinheiro para roubar.	6101
smoke out	Force someone out of a place they're hiding in.	Forçar alguém a sair de um lugar que eles estão se escondendo.	The police smoked the gang out and arrested them.	A polícia fumou a gangue e prendeu-lhes.	6102
smoke out	Drive out (something or somebody) using smoke	Expulsar (algo ou alguém) usando fumaça			6103
smoke out	Expose (something or somebody)	Expor (algo ou alguém)			6104
smoke out	Offer to smoke cannabis with someone; to smoke cannabis with someone	Oferecer-se para fumar cannabis com alguém; fumar cannabis com alguém			6105
smoke out	Smoke too much (usually cannabis); to become too stoned	Fumar demais (geralmente cannabis); ficar muito chapado			6106
smoke out	Run out of tobacco or cannabis; to be emptied of tobacco or cannabis	Ficar sem tabaco ou cannabis; ser esvaziado de tabaco ou cannabis			6107
smooth down	Render smooth, to remove roughness from	Tornar suave, para remover aspereza de			6108
snaffle up	Consume, take, buy something other people may want.	Consumir, tomar, comprar algo que outras pessoas podem querer.	They snaffled up all the food before we got there.	A polícia fumou a gangue e prendeu-lhes.	6109
snap off	Break a piece off something.	Quebrar um pedaço de alguma coisa.	He snapped off a bit of chocolate from the bar and gave it to me..	Ele tirou um pouco de chocolate do bar e deu para mim ..	6110
snap out of	Control negative emotions.	Controlar emoções negativas.	I was feeling depressed and knew I had to snap out of it.	estava me sentindo deprimido e sabia que tinha que sair disso.	6111
snap to it	Do something quickly.	Fazer algo rapidamente.	He had taken ages so I told him to snap to it and get it finished.	Ele tinha tomado séculos, então eu disse a ele para encaixá-lo e acabar com isso.	6112
snap up	Get, acquire or buy something quickly.	Obter, adquirir ou comprar algo rapidamente.	Collectors snapped up every copy the day it was released.	Colecionadores estalavam cada cópia no dia em que foi lançado.	6113
snarl up	Entangle.	enredar, embaraçar	My line was all snarled up after I caught that last fish.	Colecionadores estalavam cada cópia no dia em que foi lançado.	6114
sneak in	To enter a place quietly to avoid being seen or heard.	Entrar em um local em silêncio para evitar ser visto ou ouvido.	What reason do you have to sneak in here?		6115
sneak into	To enter a place quietly to avoid being seen or heard.	Entrar em um local em silêncio para evitar ser visto ou ouvido.	I sneaked into my brother’s room while he was playing outside.		6116
sneak out	To leave a place without being noticed.	Sair de um lugar sem ser notado.	Although the thieves tried to sneak out after dark, we were ready for them.	Embora os ladrões tentassem se esgueirar depois de escurecer, estávamos prontos para eles.	6117
sneak out	Depart furtively.	Partir de forma furtiva.	Although the thieves tried to sneak out after dark, we were ready for them.	Embora os ladrões tentassem se esgueirar depois de escurecer, estávamos prontos para eles.	6118
sneak out	To leave a place without being noticed.	Sair de um lugar sem ser notado.	Although the thieves tried to sneak out after dark, we were ready for them.	Embora os ladrões tentassem se esgueirar depois de escurecer, estávamos prontos para eles.	6119
sneak up on	Approach someone furtively.	Abordar alguém furtivamente.	Dave tried to sneak up on the guard, but was seen anyway.	Dave tentou se esgueirar no guarda, mas foi visto de qualquer maneira.	6120
sniff around	Look around to see how good something is or to try to find something better.	Olhar ao redor para ver como algo é bom ou tentar encontrar algo melhor.	I sniffed around to see if I could find a better deal.	fungei para ver se consegui encontrar um negócio melhor.	6121
sniff at	Disapprove or be scornful.	Desaprovar ou ser desdenhoso.	a job opportunity like that is not to be sniffed at.	Uma oportunidade de trabalho como essa não é para ser cheirado.	6122
sniff out	Find something by smell (usually for dogs).	Encontrar algo por meio de farejo (geralmente cães).	Customs use dogs to sniff out illegal drugs being smuggled in.	A alfândega usa cães para farejar drogas ilegais sendo contrabandeadas.	6123
sniff out	Find out information, especially when people don't want anyone to know.	Descubrir informações, especialmente quando as pessoas não querem que ninguém saiba.	Our rivals are trying to sniff out our plans for expansion.	Nossos rivais estão tentando tirar nossos planos para expansão.	6124
snitch on	Divulge secrets, inform authorities about someone.	Divulgar Segredos, informar as autoridades sobre alguém.	Reggie was caught after someone snitched on him to the teacher.	Reggie foi capturado depois que alguém deleite nele para o professor.	6125
snuff out	Extinguish a small flame by covering it.	Extinguir uma pequena chama cobrindo-a.	I snuffed out the candles before I went to bed.	peguei as velas antes de ir para a cama.	6126
